# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'ibs_op//'
# Total weight : 2183859
# Sort order   : local_weight,mem,sym,dso
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Shared Object     
# ........  ............  ............  .......................................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ..................
#
     0.00%            54  0             N/A                                      [k] reweight_entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%            53  0             L1 hit                                   [k] try_charge_memcg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             1  52            core, same node Any cache hit            [k] _nv046284rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             1  52            core, same node Any cache hit            [k] _nv055245rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%            52  0             L1 hit                                   [.] MemoryStressTest::measureMemoryBandwidth()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    SysPulse_profiling
     0.00%             1  51            core, same node Any cache hit            [k] _nv055826rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             1  51            core, same node Any cache hit            [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             1  50            core, same node Any cache hit            [k] _nv055826rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             1  49            core, same node Any cache hit            [k] psi_account_irqtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             1  49            core, same node Any cache hit            [k] record_times                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             1  48            core, same node Any cache hit            [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.00%             1  48            core, same node Any cache hit            [k] _nv055826rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  24            L2 hit                                   [k] lock_vma_under_rcu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.00%             3  16            L2 hit                                   [k] lock_vma_under_rcu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.00%             6  8             RAM hit                                  [.] MemoryStressTest::performSequentialRead(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        SysPulse_profiling
     0.00%             1  47            core, same node Any cache hit            [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.00%             1  47            core, same node Any cache hit            [.] void std::shuffle<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)  SysPulse_profiling
     0.00%            47  0             N/A                                      [k] alloc_pages_mpol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%            47  0             N/A                                      [k] sched_clock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%            47  0             N/A                                      [k] sysvec_apic_timer_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%            47  0             L1 hit                                   [k] get_page_from_freelist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [kernel.kallsyms] 
     0.00%            47  0             L1 hit                                   [k] update_curr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%             3  15            L2 hit                                   [k] mas_walk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%            45  0             N/A                                      [k] add_interrupt_randomness                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%            45  0             L2 hit                                   [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             1  44            core, same node Any cache hit            [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        libc.so.6         
     0.00%             1  44            core, same node Any cache hit            [k] update_vsyscall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%            44  0             N/A                                      [k] lru_add                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%            44  0             N/A                                      [k] lru_gen_add_folio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%            44  0             L1 hit                                   [k] perf_event_update_userpage                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%            44  0             L1 hit                                   [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             1  43            RAM hit                                  [.] MemoryStressTest::performSequentialRead(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        SysPulse_profiling
     0.00%             1  42            core, same node Any cache hit            [k] _nv035024rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  21            L2 hit                                   [k] psi_account_irqtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%            42  0             N/A                                      [k] lruvec_stat_mod_folio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms] 
     0.00%            42  0             N/A                                      [k] update_entity_lag                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%            42  0             L1 hit                                   [k] task_tick_fair                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             1  41            RAM hit                                  [.] MemoryStressTest::performSequentialRead(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        SysPulse_profiling
     0.00%             1  40            core, same node Any cache hit            [k] update_se                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             1  40            core, same node Any cache hit            [.] void std::shuffle<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)  SysPulse_profiling
     0.00%             2  20            L2 hit                                   [k] psi_account_irqtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             2  20            L2 hit                                   [k] sched_clock_cpu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             2  20            RAM hit                                  [.] MemoryStressTest::performSequentialRead(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        SysPulse_profiling
     0.00%             1  39            core, same node Any cache hit            [.] void std::shuffle<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)  SysPulse_profiling
     0.00%            39  0             N/A                                      [k] __rcu_read_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%            39  0             N/A                                      [k] pte_offset_map_lock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%            39  0             L1 hit                                   [k] _nv037272rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%            39  0             L1 hit                                   [k] do_anonymous_page                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%            39  0             L1 hit                                   [k] reweight_entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             1  38            L2 hit                                   [k] __css_rstat_updated                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             1  38            core, same node Any cache hit            [k] add_interrupt_randomness                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%            38  0             N/A                                      [k] __mem_cgroup_charge                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             1  37            core, same node Any cache hit            [k] sched_tick                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%             1  37            core, same node Any cache hit            [.] start_thread                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  libc.so.6         
     0.00%             1  37            core, same node Any cache hit            [k] task_tick_fair                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%            37  0             N/A                                      [k] psi_account_irqtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%            37  0             L1 hit                                   [k] __update_load_avg_cfs_rq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%             4  9             L2 hit                                   [k] record_times                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             4  9             L2 hit                                   [.] void std::shuffle<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)  SysPulse_profiling
