# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'ibs_op//'
# Total weight : 2183859
# Sort order   : local_weight,mem,sym,dso
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Shared Object     
# ........  ............  ............  .......................................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ..................
#
     0.12%             7  363           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.11%             7  356           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  381           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  378           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  375           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  371           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  366           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  360           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.10%             6  359           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.09%          1948  0             N/A                                      [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              SysPulse_profiling
     0.09%             1  1945          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.09%             5  379           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.09%             5  372           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.08%             4  451           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.08%             5  355           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.08%             5  354           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.08%             1  1662          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.07%             1  1587          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.07%             1  1563          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.07%             1  1533          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.07%             4  382           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.07%             2  721           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.07%             4  358           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.06%             3  457           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.06%             3  452           RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.06%             1  1303          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.06%             1  1290          RAM hit                                  [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
